milliseconds,orientationx,orientationy,orientationz,angVelocityx,angVelocityy,angVelocityz,linAccelerationx,linAccelerationy,linAccelerationz,magneticx,magneticy,magneticz,accelerationx,accelerationy,accelerationz,gravityx,gravityy,gravityz,altitude
5515340,311.19,-62.94,41.94,0.54,-0.40,-0.17,0.28,0.55,-0.53,41.25,23.00,5.50,-8.44,-2.43,2.77,-8.73,-2.98,3.31,50.52
5515370,311.56,-62.50,41.12,-0.12,-0.29,-0.03,0.22,0.49,0.54,41.25,23.00,5.50,-8.46,-2.48,3.97,-8.69,-2.98,3.42,50.46
5515401,310.56,-62.25,41.88,-0.88,-0.10,0.07,-0.02,-0.91,0.63,40.19,23.00,4.19,-8.70,-3.96,4.02,-8.68,-3.04,3.39,50.52
5515431,309.81,-62.25,42.62,-0.37,-0.05,0.07,-0.24,-0.97,0.58,40.19,23.00,4.19,-8.92,-4.05,3.93,-8.68,-3.08,3.35,50.50
5515457,309.69,-62.25,42.25,0.19,-0.06,0.06,-0.26,-0.32,0.49,40.88,22.56,5.50,-8.94,-3.38,3.86,-8.68,-3.06,3.37,50.53
5515487,309.75,-62.31,41.81,0.19,-0.04,0.10,-0.13,0.03,0.30,40.19,22.56,4.19,-8.80,-2.97,3.66,-8.68,-3.02,3.39,50.55
5515518,309.62,-62.44,41.44,-0.04,0.03,0.15,-0.07,-0.07,0.15,40.19,22.56,4.19,-8.77,-3.06,3.54,-8.70,-2.99,3.38,50.46
5515548,309.25,-62.69,41.44,-0.11,0.09,0.15,-0.11,-0.01,0.23,40.88,22.19,4.56,-8.83,-2.98,3.59,-8.72,-2.96,3.35,50.50
5515579,309.06,-62.94,41.38,-0.02,0.08,0.08,0.04,0.11,0.23,40.88,22.19,4.56,-8.69,-2.82,3.57,-8.73,-2.94,3.33,50.51
5515609,308.94,-63.06,41.38,-0.08,0.06,0.05,0.18,0.14,0.19,41.25,21.88,4.56,-8.55,-2.78,3.51,-8.74,-2.93,3.32,50.51
5515638,308.75,-63.19,41.44,-0.08,0.05,0.05,0.13,0.15,0.20,41.69,21.88,6.38,-8.62,-2.77,3.51,-8.75,-2.92,3.30,50.45
5515669,308.56,-63.31,41.44,-0.08,0.06,0.06,-0.13,0.06,0.20,41.69,21.88,6.38,-8.90,-2.84,3.49,-8.76,-2.91,3.29,50.40
5515699,308.38,-63.44,41.56,-0.08,0.04,0.02,-0.12,-0.13,0.11,41.25,22.19,7.25,-8.89,-3.04,3.38,-8.77,-2.91,3.27,50.33
